gene,mean_expr_human_Art_EC,mean_expr_human_Cap_EC,mean_expr_human_EC,mean_expr_human_Pericyte,mean_expr_human_SMC,mean_expr_human_Ven_EC,mean_expr_macaque_Art_EC,mean_expr_macaque_Fibroblast,mean_expr_macaque_Pericyte,mean_expr_macaque_SMC,mean_expr_macaque_Ven_EC,mean_expr_marmoset_Art_EC,mean_expr_marmoset_Cap_EC,mean_expr_marmoset_Fibroblast,mean_expr_marmoset_Pericyte,mean_expr_marmoset_SMC,mean_expr_marmoset_Ven_EC,mean_expr_mouse_Art_EC,mean_expr_mouse_Cap_EC,mean_expr_mouse_Pericyte,mean_expr_mouse_SMC,mean_expr_mouse_Ven_EC,mean_expr_pig_Cap_EC,mean_expr_pig_Fibroblast,mean_expr_pig_Pericyte,mean_expr_rat_Cap_EC,mean_expr_rat_Pericyte,pct_expr_human_Art_EC,pct_expr_human_Cap_EC,pct_expr_human_EC,pct_expr_human_Pericyte,pct_expr_human_SMC,pct_expr_human_Ven_EC,pct_expr_macaque_Art_EC,pct_expr_macaque_Fibroblast,pct_expr_macaque_Pericyte,pct_expr_macaque_SMC,pct_expr_macaque_Ven_EC,pct_expr_marmoset_Art_EC,pct_expr_marmoset_Cap_EC,pct_expr_marmoset_Fibroblast,pct_expr_marmoset_Pericyte,pct_expr_marmoset_SMC,pct_expr_marmoset_Ven_EC,pct_expr_mouse_Art_EC,pct_expr_mouse_Cap_EC,pct_expr_mouse_Pericyte,pct_expr_mouse_SMC,pct_expr_mouse_Ven_EC,pct_expr_pig_Cap_EC,pct_expr_pig_Fibroblast,pct_expr_pig_Pericyte,pct_expr_rat_Cap_EC,pct_expr_rat_Pericyte
A4GALT,0.1713418662548065,0.3244753181934356,0.1720524132251739,0.3029492199420929,0.1313471794128418,0.3393814265727997,0.0957752913236618,0.0146779809147119,0.0285945981740951,0.0734977349638938,0.0490673072636127,0.1954069286584854,0.5290348529815674,0.0026251468807458,0.0064812339842319,0.0046102390624582,0.1984164267778396,0.5300875306129456,0.4766707420349121,0.6061667203903198,0.8777785897254944,0.4124496877193451,0.9370880722999572,0.1155420169234275,0.3295552432537079,0.0051906672306358,0.0047205132432281,0.0824808180332183,0.1337209343910217,0.1008994206786155,0.1762313097715377,0.0752728655934333,0.1874229311943054,0.030779305845499,0.0044845840893685,0.0069739236496388,0.0278540607541799,0.0150998868048191,0.0823069661855697,0.2571348249912262,0.00091407680884,0.003814147086814,0.0046367850154638,0.0943562611937522,0.2521588802337646,0.2558799386024475,0.2864630818367004,0.4558823406696319,0.196041464805603,0.4477317631244659,0.0833333358168602,0.165454551577568,0.0037850113585591,0.0071428571827709
AAAS,0.0130123728886246,0.0133703770115971,0.0519008785486221,0.0867316350340843,0.0701001808047294,0.0114705292508006,0.0099111516028642,0.0272445473819971,0.0124001605436205,0.0400792770087718,0.0350682809948921,0.0033475458621978,0.0081880120560526,0.1215259581804275,0.0754996985197067,0.0811466723680496,0.0029688214417546,0.0498990714550018,0.0789714157581329,0.0677998140454292,0.0500320270657539,0.0368494354188442,0.1029594764113426,0.0,0.1558701395988464,0.0395662523806095,0.0337774269282817,0.0063938619568943,0.0063424948602914,0.0314796045422554,0.0533201396465301,0.0417764410376548,0.0073982737958431,0.0032743941992521,0.0077234506607055,0.0030321406666189,0.0149078071117401,0.012627781368792,0.0015395546797662,0.0041071367450058,0.0607861056923866,0.0395284332334995,0.0587326101958751,0.0017636683769524,0.0328151993453502,0.0468564108014106,0.0366909764707088,0.0441176481544971,0.0282752122730016,0.0532544367015361,0.0,0.0690909102559089,0.0287660863250494,0.0285714287310838
AACS,0.0170832779258489,0.032770000398159,0.0799897089600563,0.106650099158287,0.1072653830051422,0.0595639906823635,0.0836278423666954,0.0584384314715862,0.0192951261997222,0.0522326305508613,0.0634871423244476,0.1399515718221664,0.0886866003274917,0.1413321495056152,0.1236175373196601,0.0870031416416168,0.1296953856945037,0.0378847606480121,0.0340753868222236,0.0542946420609951,0.0,0.0480536520481109,0.0828243494033813,0.2340136021375656,0.0947007313370704,0.0151826636865735,0.0212333239614963,0.0095907924696803,0.0147991543635725,0.0469977185130119,0.0636543557047844,0.0538200996816158,0.0357583239674568,0.0248853955417871,0.016630332916975,0.0048514250665903,0.0192232243716716,0.0251219347119331,0.0638323053717613,0.0484080463647842,0.0667276084423065,0.0665742009878158,0.0741885602474212,0.0687830671668052,0.0293609667569398,0.0227875895798206,0.0307657252997159,0.0,0.0282752122730016,0.0433925054967403,0.1666666716337204,0.0490909107029438,0.0098410295322537,0.010714286006987
AAGAB,0.1823760718107223,0.1417995542287826,0.2800713777542114,0.2401654422283172,0.1660677790641784,0.2792854309082031,0.0170632898807525,0.0367897041141986,0.0206126794219017,0.0368152931332588,0.039129726588726,0.1864153444766998,0.1873375624418258,0.2411044090986251,0.2076473087072372,0.2210406810045242,0.23208087682724,0.1360033005475998,0.1387025117874145,0.1126203313469886,0.1693835854530334,0.1295524835586547,0.3240892589092254,0.3695489168167114,0.3175758719444275,0.0064421221613883,0.0052571562118828,0.0888746827840805,0.0660676509141922,0.1552444845438003,0.1373130977153778,0.0914565324783325,0.1590628921985626,0.0045841517858207,0.0107131730765104,0.0048514250665903,0.014319340698421,0.0147658176720142,0.083728089928627,0.0997999086976051,0.1183729469776153,0.1057558953762054,0.1638330817222595,0.1156966462731361,0.0846286714076995,0.0884963870048523,0.062670923769474,0.1029411777853965,0.0791705921292305,0.1735700219869613,0.25,0.1472727209329605,0.0068130204454064,0.0035714285913854
AAK1,1.5773708820343018,0.9867605566978456,1.4237995147705078,1.100651502609253,0.8095309138298035,1.7153253555297852,0.764790952205658,0.4368248879909515,0.4161320328712463,0.6126379370689392,0.858512282371521,1.3396790027618408,1.8324707746505735,1.5314332246780396,1.453898549079895,1.445123553276062,1.3653935194015503,0.5776320099830627,0.6212365031242371,0.6544290781021118,0.819195568561554,0.6789387464523315,0.069599762558937,0.1598910540342331,0.1514648646116256,0.0499976761639118,0.044739793986082,0.560741662979126,0.3578224182128906,0.6327590346336365,0.5374889969825745,0.362438827753067,0.6757090091705322,0.20366732776165,0.1194643378257751,0.0973317176103591,0.202432319521904,0.2563639879226684,0.5272382497787476,0.742794930934906,0.6339122653007507,0.6445908546447754,0.6738794445991516,0.5738977193832397,0.2746114134788513,0.3156401515007019,0.302415668964386,0.4264705777168274,0.3129123449325561,0.0355029590427875,0.0833333358168602,0.072727270424366,0.0363361090421676,0.0321428589522838
AAMP,0.0205706115812063,0.0218130089342594,0.1124143898487091,0.1648476719856262,0.1074536219239234,0.0349582768976688,0.0245496407151222,0.0390362404286861,0.0337186977267265,0.063678428530693,0.0474169813096523,0.0593269579112529,0.1550947874784469,0.1080546975135803,0.114149309694767,0.0942922458052635,0.0850812345743179,0.324725329875946,0.501146674156189,0.3952560424804687,0.5024203062057495,0.2919704020023346,0.4057547450065613,0.2852753102779388,0.3281380832195282,0.7798377275466919,0.7644241452217102,0.0108695654198527,0.0095137422904372,0.0653027594089508,0.098394900560379,0.0617237500846385,0.0209617763757705,0.0078585464507341,0.0115851759910583,0.0080351727083325,0.0233424864709377,0.0159016493707895,0.0270014218986034,0.0860041454434394,0.0557586848735809,0.0606796108186244,0.0803709402680397,0.0446208119392395,0.1658031046390533,0.2731765210628509,0.201458528637886,0.2647058963775635,0.1489161103963852,0.2189349085092544,0.1666666716337204,0.1672727316617965,0.4193792641162872,0.4392857253551483
AAR2,0.029411481693387,0.030662827193737,0.0749789625406265,0.0912395194172859,0.0606130771338939,0.0392062924802303,0.0353757664561271,0.0230675190687179,0.009531901217997,0.0323603898286819,0.0261726509779691,0.0287511125206947,0.0596915073692798,0.0288959592580795,0.0362031944096088,0.0449621342122554,0.0317324213683605,0.1235495209693908,0.1451153457164764,0.090858094394207,0.1030086800456047,0.1144725978374481,0.1810417473316192,0.1277209371328354,0.2774789929389953,0.1077033355832099,0.1279201656579971,0.015345268882811,0.0147991543635725,0.0440841130912303,0.056948110461235,0.0327436961233615,0.0234278663992881,0.0111329406499862,0.0065400185994803,0.0024257125332951,0.0119654769077897,0.0092870984226465,0.0126717193052172,0.0330326110124588,0.0159963443875312,0.0201109573245048,0.0293663050979375,0.0162257496267557,0.0725388601422309,0.0907842963933944,0.0565177761018276,0.073529414832592,0.0725730434060096,0.0927021726965904,0.0833333358168602,0.1363636404275894,0.0772142335772514,0.0821428596973419
AARD,0.0,0.0,0.0014104223810136,0.0064735854975879,0.0038475689943879,0.0,0.0,0.0001898685732157,0.0,0.0,0.0,0.0,0.0,0.0007007464882917,0.0,0.0,0.0,0.005519937723875,0.0042782416567206,0.0068014711141586,0.0661133676767349,0.0105525106191635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008867494179867,0.003518029814586,0.0015054573304951,0.0,0.0,6.228589336387813e-05,0.0,0.0,0.0,0.0,0.0,0.00045703840442,0.0,0.0,0.0,0.0086355786770582,0.0028370092622935,0.0036463080905377,0.0294117648154497,0.009425071068108,0.0,0.0,0.0,0.0,0.0
AARS2,0.0277034509927034,0.0237685199826955,0.0435559749603271,0.0584180317819118,0.0342595539987087,0.027607999742031,0.0204604230821132,0.0205764230340719,0.0216858573257923,0.0268740262836217,0.0325929410755634,0.0150063075125217,0.0206156261265277,0.0070494771935045,0.0134601909667253,0.0250648111104965,0.0148780066519975,0.0265763718634843,0.0291541088372468,0.0314827784895896,0.0439523011445999,0.0288571994751691,0.1014728471636772,0.0,0.1208298131823539,0.0281559657305479,0.0558693334460258,0.013427110388875,0.0116279069334268,0.0261591076850891,0.037159189581871,0.0207000374794006,0.016029592603445,0.0052390308119356,0.0064154467545449,0.0053062462247908,0.0098077673465013,0.0119596449658274,0.0068687824532389,0.0119703728705644,0.0031992688309401,0.007628294173628,0.0154559509828686,0.0074074072763323,0.0138169256970286,0.0195845160633325,0.0195989068597555,0.0441176481544971,0.0160226207226514,0.0473372787237167,0.0,0.0618181824684143,0.0204390604048967,0.0357142873108387
AASDH,0.0596975497901439,0.0421270243823528,0.1473389714956283,0.1775764971971511,0.1020705699920654,0.072973757982254,0.0470848642289638,0.0519708357751369,0.0329838469624519,0.060880109667778,0.0545082166790962,0.148020789027214,0.1450277864933014,0.2312179058790207,0.1996764242649078,0.2575162053108215,0.176781877875328,0.0460886359214782,0.0506286658346653,0.076834000647068,0.0486178956925869,0.0545392930507659,0.1807578951120376,0.2644781172275543,0.1862287074327469,0.0322973653674125,0.0238268971443176,0.0319693088531494,0.0179704017937183,0.0855713188648223,0.1021328046917915,0.0572073757648468,0.0468557327985763,0.0137524558231234,0.0150108998641371,0.0077319587580859,0.0225578658282756,0.0197100285440683,0.0653718635439872,0.0778249725699424,0.1142596006393432,0.104368932545185,0.1792890280485153,0.0862433835864067,0.0328151993453502,0.0312986187636852,0.0405651777982711,0.0294117648154497,0.0301602259278297,0.0927021726965904,0.1666666716337204,0.0890909060835838,0.0227100681513547,0.010714286006987
